Date UTC,site-Jaguar 1-Pset (mean),site-Jaguar 1-UnitsOnline (mean),site-Jaguar 1-BESSkW (mean),site-Jaguar 1-AllowedMaxP (mean),site-Jaguar 1-AllowedMinP (mean),site-Jaguar 1-PCS_P (mean),meter-Jaguar 1-kW (mean),meter-Jaguar 1-kVAR (mean),meter-Jaguar 1-Voltage (mean),meter-Jaguar 1-PF (mean),meter-Jaguar 1-Hz (mean),site-Jaguar 1-Qset (mean),site-Jaguar 1-PCS_Q (mean),site-Jaguar 1-AllowedMaxQ (mean),site-Jaguar 1-AllowedMinQ (mean),site-Jaguar 1-HS-CONTROL-P (mean),site-Jaguar 1-HS-CONTROL-Q (mean),site-Jaguar 1-RTAC_P (mean),site-Jaguar 1-RTAC_Q (mean)
2025-08-14T19:00:38.000+00:00,,42,39,,,,710.614563,,354.742594,0.416269,60.013115,,-238.208087,144518.2896,-144518.2896,0,-241.2861875333333,,
2025-08-14T19:00:39.000+00:00,,42,56,,,,710.614563,,354.630971,0.416269,60.013115,,-244.467873,144532.176,-144532.176,0,-246.65910590000001,,
2025-08-14T19:00:40.000+00:00,,42,56,,,,710.614563,,354.679057,0.416269,60.013115,,-244.908843,144551.9536,-144551.9536,0,-245.00419675,,
2025-08-14T19:00:41.000+00:00,,42,62,,,,710.614563,,354.754344,0.416269,60.013115,,-248.733375,144541.0128,-144541.0128,0,-246.403018,,
2025-08-14T19:00:42.000+00:00,,42,55,,,,710.614563,,354.673472,0.416269,60.013115,,-247.400633,144546.904,-144546.904,0,-245.99676696666654,,
2025-08-14T19:00:43.000+00:00,,42,60,,,,710.614563,,354.75355,0.416269,60.013115,,-246.096425,144542.2752,-144542.2752,0,-249.17980212903228,,
2025-08-14T19:00:44.000+00:00,,42,59,,,,710.614563,,354.628937,0.416269,60.013115,,-249.211216,144523.76,-144523.76,0,-250.1025157666667,,
2025-08-14T19:00:45.000+00:00,,42,69,,,,710.614563,,354.708883,0.416269,60.013115,,-251.425233,144554.4784,-144554.4784,0,-251.9155862,,
2025-08-14T19:00:46.000+00:00,,42,69,,,,710.614563,,354.763977,0.416269,60.013115,,-251.201369,144561.632,-144561.632,0,-253.57455655172416,,
2025-08-14T19:00:47.000+00:00,,42,70,,,,710.614563,,354.804616,0.416269,60.013115,,-256.941738,144571.3104,-144571.3104,0,-255.99101090000002,,
2025-08-14T19:00:48.000+00:00,0,42,75,150000,,0,710.614563,,354.813894,0.416269,60.013115,0,-254.400021,144538.9088,-144538.9088,0,-256.3492139666667,0,10
2025-08-14T19:00:49.000+00:00,0,42,75,150000,,0,710.614563,,354.628754,0.416269,60.013115,0,-258.096979,144526.2848,-144526.2848,0,-256.9079330645161,0,10
2025-08-14T19:00:50.000+00:00,0,42,70,150000,,0,710.614563,,354.691925,0.416269,60.013115,0,-254.59805,144533.4384,-144533.4384,0,-256.9079330645161,0,10
2025-08-14T19:00:51.000+00:00,0,42,62,150000,,0,710.614563,-147.835022,354.7712,0.416269,60.013115,0,-258.221134,144557.0032,-144557.0032,0,-257.09558582352946,0,10
2025-08-14T19:00:52.000+00:00,0,42,62,150000,,0,710.614563,-147.835022,354.7712,0.416269,60.013115,0,-258.221134,144557.0032,-144557.0032,0,-256.23283836666667,0,10
2025-08-14T19:00:53.000+00:00,0,42,55,150000,,0,710.614563,-147.835022,354.752126,0.416269,60.013115,0,-254.734914,144523.3392,-144523.3392,0,-255.52595738709678,0,10
2025-08-14T19:00:54.000+00:00,0,42,63,150000,,0,710.614563,-147.835022,354.620463,0.416269,60.013115,0,-252.160497,144546.4832,-144546.4832,0,-252.9984123333334,0,10
2025-08-14T19:00:55.000+00:00,0,42,63,150000,,0,710.614563,-147.835022,354.620463,0.416269,60.013115,0,-252.160497,144546.4832,-144546.4832,0,-251.96016960000006,0,10
2025-08-14T19:00:56.000+00:00,0,42,67,150000,-150000,0,710.614563,-137.25769,354.621623,0.416269,60.013115,0,-251.926256,144541.8544,-144541.8544,0,-251.28574651612902,0,10
2025-08-14T19:00:57.000+00:00,0,42,67,150000,-150000,0,710.614563,-137.25769,354.621623,0.416269,60.013115,0,-251.926256,144538.9088,-144538.9088,0,-256.0928381666667,0,10
2025-08-14T19:00:58.000+00:00,0,42,55,150000,-150000,0,710.614563,-149.132401,354.699534,0.416269,60.013115,0,-259.762681,144547.3248,-144547.3248,0,-258.6722754,0,10
2025-08-14T19:00:59.000+00:00,0,42,49,150000,-150000,0,710.614563,-133.805527,354.821045,0.416269,60.013115,0,-254.827095,144539.7504,-144539.7504,0,-257.072646516129,0,10
2025-08-14T19:01:00.000+00:00,0,42,54,150000,-150000,0,710.614563,-149.465866,354.67157,0.416269,60.013115,0,-256.270545,144526.2848,-144526.2848,0,-256.07195586666666,0,10
2025-08-14T19:01:01.000+00:00,0,42,47,150000,-150000,0,709.768494,-151.16951,354.770986,0.417978,60.01627,0,-257.123812,144557.8448,-144557.8448,0,-256.9896407499999,0,10
2025-08-14T19:01:02.000+00:00,0,42,47,150000,-150000,0,709.768494,-138.890305,354.706706,0.417978,60.01627,0,-256.862336,144534.28,-144534.28,0,-256.50652766666667,0,10
2025-08-14T19:01:03.000+00:00,0,42,48,150000,-150000,0,709.768494,-138.890305,354.715434,0.417978,60.01627,0,-256.326884,144546.0624,-144546.0624,0,-255.94525406451615,0,10
2025-08-14T19:01:04.000+00:00,0,42,48,150000,-150000,0,723.265564,-138.890305,354.686462,0.417978,60.01627,0,-252.825704,144539.7504,-144539.7504,0,-253.3543460666667,0,10
2025-08-14T19:01:05.000+00:00,0,42,47,150000,-150000,0,723.265564,-138.890305,354.760274,0.417978,60.01627,0,-254.539075,144545.6416,-144545.6416,0,-255.26323176666662,0,10
2025-08-14T19:01:06.000+00:00,0,42,43,150000,-150000,0,723.265564,-138.890305,354.684347,0.417978,60.01627,0,-254.965028,144533.8592,-144533.8592,0,-256.95746238709677,0,10
2025-08-14T19:01:07.000+00:00,0,42,47,150000,-150000,0,723.265564,-138.890305,354.765757,0.417978,60.01627,0,-256.42764,144543.5376,-144543.5376,0,-254.71949746428567,0,10
